bookID,title,authors,average_rating,isbn,isbn13,language_code,  num_pages,ratings_count,text_reviews_count,publication_date,publisher,publication_year,book_age,average_rating_author,ratings_count_author,num_books,author_influence,publisher_influence,popular
68,The Known World,Edward P. Jones/Kevin R. Free,3.83,006076273X,9780060762735,en-US,14,55,12,6/15/2004,HarperAudio,2004.0,21.0,3.83,55,1,3.261234943332534,3.8725,0
69,The Known World,Edward P. Jones,3.83,0060749911,9780060749910,eng,576,22,3,6/15/2004,Harper,2004.0,21.0,3.8600000000000003,33999,5,5.4185866349251,3.914,0
71,Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,3.83,0273704745,9780273704744,eng,334,1456,82,5/15/2006,FT Press,2006.0,19.0,3.83,1456,1,4.238869877970551,3.83,0
72,Artesia: Adventures in the Known World,Mark Smylie,4.13,1932386106,9781932386103,eng,352,52,4,12/14/2005,Archaia,2005.0,20.0,4.055,294,2,3.953315064635568,4.055,1
74,The John McPhee Reader (John McPhee Reader  #1),John McPhee/William Howarth,4.42,0374517193,9780374517199,eng,416,562,37,6/1/1982,Farrar  Straus and Giroux,1982.0,43.0,4.42,562,1,4.248613324553896,4.074146341463415,1
75,Uncommon Carriers,John McPhee,3.95,0374280398,9780374280390,en-US,248,1630,203,5/16/2006,Farrar Straus Giroux,2006.0,19.0,4.1463636363636365,21552,11,5.563644237233362,3.7840000000000003,0
76,Heirs of General Practice,John McPhee,4.17,0374519749,9780374519742,eng,128,268,22,4/1/1986,Farrar  Straus and Giroux,1986.0,39.0,4.1463636363636365,21552,11,5.563644237233362,4.074146341463415,1
77,The Control of Nature,John McPhee,4.24,0374522596,9780374522599,en-US,288,3498,305,9/1/1990,Farrar  Straus and Giroux,1990.0,35.0,4.1463636363636365,21552,11,5.563644237233362,4.074146341463415,1
78,Annals of the Former World,John McPhee,4.34,0374518734,9780374518738,eng,720,3115,228,1/6/1999,Farrar  Straus and Giroux,1999.0,26.0,4.1463636363636365,21552,11,5.563644237233362,4.074146341463415,1
79,Coming Into the Country,John McPhee,4.22,0374522871,9780374522872,eng,448,5704,261,4/1/1991,Farrar  Straus and Giroux,1991.0,34.0,4.1463636363636365,21552,11,5.563644237233362,4.074146341463415,1
80,La Place de la Concorde Suisse,John McPhee,3.92,0374519323,9780374519322,fre,160,698,52,4/1/1994,Farrar  Straus and Giroux,1994.0,31.0,4.1463636363636365,21552,11,5.563644237233362,4.074146341463415,0
81,Giving Good Weight,John McPhee,4.23,0374516006,9780374516000,eng,288,542,36,4/1/1994,Farrar  Straus and Giroux,1994.0,31.0,4.1463636363636365,21552,11,5.563644237233362,4.074146341463415,1
83,Rising from the Plains,John McPhee,4.23,0374520658,9780374520656,eng,208,1341,98,11/1/1987,Farrar  Straus and Giroux,1987.0,38.0,4.1463636363636365,21552,11,5.563644237233362,4.074146341463415,1
85,The Heidi Chronicles,Wendy Wasserstein,3.75,0822205106,9780822205104,eng,81,1423,70,3/1/2002,Dramatists Play Service,2002.0,23.0,3.795,4189,2,4.619359261608476,3.942857142857143,0
86,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein,3.84,0679734996,9780679734994,eng,249,2766,64,7/2/1991,Vintage,1991.0,34.0,3.795,4189,2,4.619359261608476,3.8941823899371064,0
89,Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,Heidi Hayes Jacobs,3.94,1596670231,9781596670235,eng,138,31,1,3/29/2006,Routledge,2006.0,19.0,3.6233333333333335,163,3,3.6188854672379045,3.686060606060606,0
90,Simply Beautiful Beaded Jewelry,Heidi Boyd,3.77,1581807740,9781581807745,en-US,128,62,4,3/14/2006,North Light Books,2006.0,19.0,3.775,140,2,3.5918504248470726,3.775,0
91,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker/Rolland Baker,4.46,0800793617,9780800793616,eng,192,860,53,9/1/2003,Chosen Books,2003.0,22.0,4.46,860,1,4.3960577874403075,4.41,1
92,Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,3.68,0871202867,9780871202864,en-US,108,77,2,1/28/1997,Association for Supervision & Curriculum Development,1997.0,28.0,3.6233333333333335,163,3,3.6188854672379045,3.8950000000000005,0
93,Heidi (Heidi  #1-2),Johanna Spyri/Beverly Cleary/Angelo  Rinaldi,3.99,0753454947,9780753454947,eng,352,153317,2257,11/15/2002,Kingfisher,2002.0,23.0,3.99,153317,1,5.71571027855104,3.9433333333333334,0
94,Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,3.25,0871209993,9780871209993,eng,192,55,5,11/15/2004,ASCD,2004.0,21.0,3.6233333333333335,163,3,3.6188854672379045,3.25,0
96,There's Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker/Heidi Baker,4.46,1852402873,9781852402877,eng,192,34,6,4/28/2003,Sovereign World,2003.0,22.0,4.46,34,1,3.4352338545588132,4.46,1
98,What to Expect the First Year (What to Expect),Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome,3.89,0761129588,9780761129585,eng,832,11797,659,10/16/2003,Workman Publishing Company,2003.0,22.0,3.89,11797,1,4.896335027480895,4.0685714285714285,0
99,The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss/Libby Keatinge,3.82,0972016414,9780972016414,eng,123,34,8,5/10/2004,One Hour Entertainment,2004.0,21.0,3.82,34,1,3.115233854558813,3.82,0
100,Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,3.78,1581805632,9781581805635,en-US,128,78,4,8/19/2004,North Light Books,2004.0,21.0,3.775,140,2,3.5918504248470726,3.775,0
103,God Emperor of Dune (Dune Chronicles  #4),Frank Herbert,3.84,0441294677,9780441294671,eng,423,2785,166,6/15/1987,Ace Books,1987.0,38.0,3.778,245357,10,6.091721148799777,3.8708333333333336,0
105,Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,3.91,0441102670,9780441102679,eng,436,38778,568,7/1/1987,Ace Books,1987.0,38.0,3.778,245357,10,6.091721148799777,3.8708333333333336,0
106,Dune Messiah (Dune Chronicles #2),Frank Herbert,3.88,0441172695,9780441172696,eng,331,97494,2359,7/15/1987,Ace Books,1987.0,38.0,3.778,245357,10,6.091721148799777,3.8708333333333336,0
107,Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,4.01,0765306476,9780765306470,en-US,592,784,21,7/1/2004,Tor Books,2004.0,21.0,4.01,784,1,4.143334551446712,3.835131578947369,1
109,Heretics of Dune (Dune Chronicles  #5),Frank Herbert,3.86,0399128980,9780399128981,eng,480,272,20,4/16/1984,Putnam,1984.0,41.0,3.778,245357,10,6.091721148799777,3.9233333333333333,0
110,The Road to Dune,Frank Herbert/Brian Herbert/Kevin J. Anderson,3.88,0765353709,9780765353702,eng,426,4789,83,8/29/2006,Tor Science Fiction,2006.0,19.0,3.88,4789,1,4.620915143233478,3.6675,0
117,Heretics of Dune (Dune Chronicles #5),Frank Herbert,3.86,0441328008,9780441328000,eng,471,45388,644,8/15/1987,Ace Books,1987.0,38.0,3.778,245357,10,6.091721148799777,3.8708333333333336,0
119,The Lord of the Rings: The Art of the Fellowship of the Ring,Gary Russell,4.59,0618212906,9780618212903,eng,192,26153,102,6/12/2002,Houghton Mifflin Harcourt,2002.0,23.0,4.404999999999999,26426,2,5.476864905866993,4.078205128205129,1
122,The Power of One (The Power of One  #1),Bryce Courtenay,4.35,034541005X,9780345410054,eng,544,69167,4551,9/29/1996,Ballantine Books,1996.0,29.0,4.112,84330,5,5.817103337047988,3.875,1
123,The Power of One (The Power of One  #1),Bryce Courtenay,4.35,0385732546,9780385732543,eng,291,45,13,9/13/2005,Delacorte Books for Young Readers,2005.0,20.0,4.112,84330,5,5.817103337047988,4.093999999999999,1
129,The Power of One: One Person  One Rule  One Month,John C. Maxwell/Stephen R. Graves/Thomas G. Addington,4.28,0785260056,9780785260059,en-US,256,16,1,11/1/2004,Thomas Nelson,2004.0,21.0,4.28,16,1,3.128593439328854,4.049047619047619,1
130,Power of an Hour: Business and Life Mastery in One Hour a Week,Dave Lakhani,3.34,0471780936,9780471780939,eng,205,174,16,5/19/2006,Wiley,2006.0,19.0,3.34,174,1,3.3580652282890435,3.883181818181818,0
131,The Power of One: The Solo Play for Playwrights  Actors  and Directors,Louis E. Catron,3.67,0325001537,9780325001531,eng,240,10,0,2/7/2000,Heinemann Drama,2000.0,25.0,3.67,10,1,2.6929980179515,3.67,0
132,How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Adam Ginsberg,3.48,006076287X,9780060762872,eng,336,76,9,5/3/2005,William Morrow Paperbacks,2005.0,20.0,3.48,76,1,3.181771062668094,3.778620689655172,0
133,eBay for Dummies,Marsha Collier,3.5,0470045299,9780470045299,eng,386,111,9,10/30/2006,Wiley,2006.0,19.0,3.5825,205,4,3.7115004331236943,3.883181818181818,0
135,What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,Chris Malta/Lisa Suttora,3.62,0072262788,9780072262780,eng,260,24,0,1/24/2006,McGraw-Hill,2006.0,19.0,3.62,24,1,2.9142921835724493,3.813333333333334,0
137,Starting an eBay Business for Dummies,Marsha Collier,3.55,0764569244,9780764569241,eng,384,55,4,9/17/2004,Wiley,2004.0,21.0,3.5825,205,4,3.7115004331236943,3.883181818181818,0
138,eBay: Top 100 Simplified Tips & Tricks,Julia Wilkinson,4.27,0471933821,9780471933823,eng,260,9,0,6/6/2006,Wiley,2006.0,19.0,4.27,9,1,2.9644049640102024,3.883181818181818,1
139,ebay Timesaving Techniques for Dummies,Marsha Collier,3.39,0764559915,9780764559914,en-US,391,22,1,5/31/2004,Wiley,2004.0,21.0,3.5825,205,4,3.7115004331236943,3.883181818181818,0
140,eBay Business All-in-One Desk Reference for Dummies,Marsha Collier,3.89,0764584383,9780764584381,en-US,864,17,3,4/25/2005,Wiley,2005.0,20.0,3.5825,205,4,3.7115004331236943,3.883181818181818,0
141,Ruby Cookbook,Lucas Carlson/Leonard Richardson,3.84,0596523696,9780596523695,eng,873,166,4,7/29/2006,O'Reilly Media,2006.0,19.0,3.84,166,1,3.5940275798370154,3.925,0
142,Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,4.12,0806523492,9780806523491,eng,240,50,5,5/3/2005,Citadel,2005.0,20.0,4.1,63,2,3.5173873827415236,4.0053846153846155,1
144,Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,4.08,0806525363,9780806525365,eng,206,13,2,5/3/2005,Citadel,2005.0,20.0,4.1,63,2,3.5173873827415236,4.0053846153846155,1
147,Rails Cookbook: Recipes for Rapid Web Development with Ruby,Rob Orsini,3.48,0596527314,9780596527310,eng,514,64,1,1/1/2007,O'Reilly Media,2007.0,18.0,3.48,64,1,3.13094561708068,3.925,0
151,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,4.05,0143035002,9780143035008,eng,838,16643,1851,5/31/2004,Penguin Classics,2004.0,21.0,3.94,19185,3,5.205839709837346,3.944565217391304,1
152,Anna Karenina,Leo Tolstoy/David Magarshack/Priscilla Meyer,4.05,0451528611,9780451528612,eng,960,109420,5696,11/5/2002,Signet,2002.0,23.0,4.05,109420,1,5.644516868113922,3.9445454545454544,1
153,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky/John Bayley,4.05,0140449175,9780140449174,eng,837,2904,309,1/30/2003,Penguin Books,2003.0,22.0,4.05,2904,1,4.5558860368977925,3.920383141762452,1
154,CliffsNotes on Tolstoy's Anna Karenina,Marianne Sturman/Leo Tolstoy,3.85,0822001837,9780822001836,eng,80,16,3,11/26/1965,Cliffs Notes,1965.0,60.0,3.85,16,1,2.913593439328854,3.6823076923076927,0
155,Anna Karenina,Leo Tolstoy/Amy Mandelker/Constance Garnett,4.05,1593080271,9781593080273,eng,803,9564,726,7/1/2003,Barnes & Noble Classics,2003.0,22.0,4.05,9564,1,4.913389200674295,3.9074999999999998,1
156,Anna Karenina,Leo Tolstoy/Louise Maude/Aylmer Maude,4.05,0486437965,9780486437965,eng,752,474,72,11/23/2004,Dover Publications,2004.0,21.0,4.09,11942,2,5.081092641234149,3.9538823529411764,1
157,Anna Karenina,Leo Tolstoy/Constance Garnett/Amy Mandelker,4.05,1593081774,9781593081775,eng,803,303,48,8/26/2004,Barnes & Noble,2004.0,21.0,4.05,303,1,3.8787377465338553,4.114999999999999,1
159,Dinner with Anna Karenina,Gloria Goldreich,2.99,0778322270,9780778322276,eng,360,411,65,1/28/2006,Mira Books,2006.0,19.0,3.38,413,2,3.717482249881216,3.725454545454546,0
160,Tolstoy: Anna Karenina,Anthony Thorlby,4.19,0521313252,9780521313254,eng,128,1204,33,11/26/1987,Cambridge University Press,1987.0,38.0,4.345000000000001,1205,2,4.520741770919761,3.9316666666666666,1
162,Untouchable,Mulk Raj Anand/E.M. Forster,3.71,0140183957,9780140183955,eng,160,3429,279,7/3/1990,Penguin Books,1990.0,35.0,3.71,3429,1,4.435724098159985,3.920383141762452,0
163,The Untouchable,John Banville,3.95,0679767479,9780679767473,eng,367,2163,216,6/30/1998,Vintage,1998.0,27.0,3.6574999999999998,27236,8,5.331894402079205,3.8941823899371064,0
164,The Untouchables,Eliot Ness/Oscar Fraley,3.89,1568491980,9781568491981,eng,256,613,31,2/1/1996,Buccaneer Books,1996.0,29.0,3.89,613,1,4.009627914556131,4.0200000000000005,0
165,Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,Narendra Jadhav,3.82,0743270797,9780743270793,en-US,320,308,40,9/27/2005,Scribner,2005.0,20.0,3.82,308,1,3.7686318191813126,3.856164383561644,0
166,Dalit: The Black Untaouchables of India,V.T. Rajshekar/Y.N. Kly,4.2,0932863051,9780932863058,eng,100,10,0,1/28/1995,Clarity Press,1995.0,30.0,4.2,10,1,2.9579980179515,4.2,1
168,Growing Up Untouchable in India: A Dalit Autobiography,Vasant Moon/Gail Omvedt/Eleanor Zelliot,3.65,0742508803,9780742508804,eng,224,16,4,12/20/2000,Rowman & Littlefield Publishers,2000.0,25.0,3.65,16,1,2.8135934393288538,3.7325,0
171,The Evidence-Based Social Work Skills Book,Barry R. Cournoyer,3.4,0205358624,9780205358625,eng,216,10,0,9/22/2003,Pearson,2003.0,22.0,3.4,10,1,2.5579980179515003,3.665,0
177,"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",John Carratello/Patty Carratello/Theresa Wright,4.0,1557344035,9781557344038,eng,48,17,0,9/28/1991,Teacher Created Resources,1991.0,34.0,4.0,17,1,3.0057409634808385,4.0,0
180,Wrinkles in Time,George Smoot/Keay Davidson,4.01,0380720442,9780380720446,eng,360,1035,23,10/1/1994,Harper Perennial,1994.0,31.0,4.01,1035,1,4.226566162957818,3.8980357142857143,1
181,A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),Madeleine L'Engle,4.0,0821925326,9780821925324,eng,250,36,6,5/1/2002,EMC/Paradigm Publishing,2002.0,23.0,4.008571428571428,42939,7,5.620441744051512,4.0,0
182,Literature Circle Guide: A Wrinkle in Time,Tara MacCarthy,3.6,043927169X,9780439271691,eng,32,15,0,1/1/2002,Teaching Resources,2002.0,23.0,4.3,19,2,3.268442139799819,4.2625,0
201,Una arruga en el tiempo – A Wrinkle in Time,Madeleine L'Engle,4.0,0606105263,9780606105262,spa,205,6,1,6/1/1984,Turtleback Books,1984.0,41.0,4.008571428571428,42939,7,5.620441744051512,3.946153846153846,0
204,The Long Shadow (The Morland Dynasty  #6),Cynthia Harrod-Eagles,4.12,0751506435,9780751506433,eng,367,376,17,6/1/1994,Little  Brown Book Group,1994.0,31.0,4.223333333333333,2452,9,4.913703798543022,4.077692307692308,1
205,A Long Shadow (Inspector Ian Rutledge  #8),Charles Todd,4.11,006078671X,9780060786717,eng,352,3086,237,1/3/2006,William Morrow,2006.0,19.0,4.032222222222222,29109,9,5.56027924073182,3.950714285714286,1
207,Long Way Round: Chasing Shadows Across the World,Ewan McGregor/Charley Boorman/Robert Uhlig,3.94,0743499344,9780743499347,en-US,320,352,44,11/1/2005,Atria Books,2005.0,20.0,3.94,352,1,3.868569853191978,3.8575,0
208,A Shadow in Summer (Long Price Quartet  #1),Daniel Abraham,3.6,0765313405,9780765313409,eng,331,9852,633,3/7/2006,Tor Books,2006.0,19.0,3.6,9852,1,4.697288813008732,3.835131578947369,0
213,New Hope for the Dead (Hoke Mosely #2),Charles Willeford/James Lee Burke,3.9,1400032490,9781400032495,eng,244,821,78,8/10/2004,Vintage Crime/Black Lizard,2004.0,21.0,3.9,821,1,4.1021515546288425,3.9593333333333334,0
214,Sideswipe: A Hoke Moseley Novel,Charles Willeford/Lawrence Block,4.05,1400032482,9781400032488,eng,215,731,72,3/8/2005,Vintage Crime/Black Lizard,2005.0,20.0,4.05,731,1,4.142363590300382,3.9593333333333334,1
216,Miami Blues (Hoke Moseley #1),Charles Willeford/Elmore Leonard,3.94,1400032466,9781400032464,eng,191,2897,178,8/10/2004,Vintage Crime/Black Lizard,2004.0,21.0,3.94,2897,1,4.500162272976177,3.9593333333333334,0
230,The Burnt Orange Heresy (Vintage Crime/Black Lizard),Charles Willeford,3.89,0679732527,9780679732525,eng,144,98,11,10/3/1990,Vintage,1990.0,35.0,3.895,662,2,4.1162549547893805,3.8941823899371064,0
231,I am Charlotte Simmons,Tom Wolfe,3.42,0312424442,9780312424442,eng,738,20888,1688,8/30/2005,Picador USA,2005.0,20.0,3.85,23688,4,5.2687174077942585,3.919285714285714,0
237,Poetry for Young People: Edward Lear,Edward Lear/Laura Huliska-Beith/Edward Mendelson,3.91,0806930772,9780806930770,eng,48,66,19,10/1/2001,Sterling,2001.0,24.0,3.91,66,1,3.355037221929279,4.057333333333333,0
